Name,Price,Rating,Stars
ذاكرة العاب مكتبية فيوري بيست DDR5 ذاكرة 16 جيجا بايت 5600 ميجا ترانسفير/ثانية CL 40 DDR5 دي اي ام ام من كينجستون- KF556C40BBA-8، سعة 16.0 GB,"4,450.‎","1,448",4.6 من 5 نجوم
لاب توب ألعاب اتش بي فيكتس 16-d1058ne i7-12700H جيل 12 بـ14 نواة ورام 16GB DDR5-4800MHz وSSD 512GB|انفيديا RTX3060 6GB GDDR6 16 وشاشة 16.1 FHD 1920×1080 IPS 300 وحدة مضيئة 144Hz ويندوز 11|ميكا سيلفر,"56,999.‎",,
لاب توب ديل لاتيتيود 5490 نوت بوك 14 بوصة FHD (1920×1080) عملي بمعالج انتل كور i5-8350 حتى 3.4GHz وذاكرة رام 16GB وSSD 512GB وبلوتوث وواي فاي وكاميرا وHDMI وDP وVGA وويندوز 10 برو (مجدد),"19,000.‎",26,3.4 من 5 نجوم
لابتوب لينوفو للألعاب ايديا باد3 82K202A2ED/ AMD رايزن 5 5500H/ذاكرة RAM 8GB وSSD 512/انفيديا جيفورس RTX™ 2050 4GB/ FHD (1920x1080) IPS 300nits مضادة للتوهج، 45% NTSC، 144Hz/ويندوز 11/اسود شادو,"38,499.‎",14,4.4 من 5 نجوم
لاب توب للألعاب فيكتوس من اتش بي، CPU: رايزن 5-7535HS، ذاكرة 16GB DDR5 2DM 4800، الشاشة: شاشة 15.6 FHD مضادة للتوهج IPS 250 وحدة مضيئة في البكسل 144Hz بحواف ضيقة مسطحة، 512GB، ويندوز 11 (15-fb1004ne),"39,999.‎",,
ملابس للاولاد من سيزر أولاد,89.‎,3,3.8 من 5 نجوم
شورت بوكسر قصير ليكرا للاطفال من الجنسين من جونيور,61.‎,8,3.4 من 5 نجوم
3 × محول MMK 16A باور لوك ثلاثي الدرع متوافق مع جميع أنواع الاسلاك,159.‎,656,4.6 من 5 نجوم
طقم ملابس داخلية للبنات من زيركون,156.‎,17,3.6 من 5 نجوم
بابيلون ملابس داخلية للبنات SUM23-8253 (عبوة من قطعة واحدة)، قطن,69.‎,3,5.0 من 5 نجوم
Habi Life تيشرت قطن نص كم أولادي,80.‎,1,4.0 من 5 نجوم
ملابس داخلية قطنية مطبوعة بأشكال للأولاد من بابيلون,70.‎,,
